author;term;termCount;totalTerms;articleCount;totalArticles;termPercent;inverseDocumentFrequency;criterion
AaronPressman;online;50;18783;22;50;0.266;3.455;0.92
AaronPressman;commerce;35;18783;15;50;0.186;3.189;0.594
AaronPressman;security;20;18783;7;50;0.106;2.82;0.3
AaronPressman;electronic;14;18783;5;50;0.075;3.249;0.242
AaronPressman;mail;16;18783;7;50;0.085;3.561;0.303
AaronPressman;businesses;20;18783;15;50;0.106;2.179;0.232
AaronPressman;use;40;18783;20;50;0.213;1.805;0.384
AaronPressman;available;14;18783;13;50;0.075;2.36;0.176
AaronPressman;ordinary;4;18783;4;50;0.021;4.269;0.091
AaronPressman;like;34;18783;21;50;0.181;1.594;0.288
AaronPressman;letter;15;18783;11;50;0.08;3.561;0.284
AaronPressman;trading;29;18783;6;50;0.154;1.642;0.254
AaronPressman;messages;8;18783;6;50;0.043;5.259;0.224
AaronPressman;selling;9;18783;6;50;0.048;2.426;0.116
AaronPressman;fear;4;18783;4;50;0.021;3.73;0.079
AaronPressman;robert;9;18783;9;50;0.048;2.949;0.141
AaronPressman;reisner;6;18783;1;50;0.032;7.824;0.25
AaronPressman;vice;17;18783;13;50;0.091;2.154;0.195
AaronPressman;president;42;18783;27;50;0.224;1.355;0.303
AaronPressman;planning;5;18783;4;50;0.027;3.106;0.083
AaronPressman;expand;8;18783;7;50;0.043;2.82;0.12
AaronPressman;area;7;18783;7;50;0.037;2.323;0.087
AaronPressman;networks;3;18783;3;50;0.016;2.919;0.047
AaronPressman;secure;4;18783;4;50;0.021;3.634;0.077
AaronPressman;communications;27;18783;19;50;0.144;2.158;0.31
AaronPressman;require;5;18783;4;50;0.027;3.764;0.1
AaronPressman;corp;27;18783;20;50;0.144;1.043;0.15
AaronPressman;post;7;18783;1;50;0.037;2.421;0.09
AaronPressman;office;16;18783;8;50;0.085;2.311;0.197
AaronPressman;people;28;18783;15;50;0.149;1.217;0.181
AaronPressman;register;6;18783;3;50;0.032;5.259;0.168
AaronPressman;just;15;18783;12;50;0.08;1.437;0.115
AaronPressman;delivery;3;18783;2;50;0.016;3.892;0.062
AaronPressman;sun;5;18783;4;50;0.027;3.467;0.092
AaronPressman;microsystems;4;18783;4;50;0.021;4.063;0.087
AaronPressman;developed;3;18783;2;50;0.016;3.313;0.053
AaronPressman;bulk;5;18783;3;50;0.027;4.241;0.113
AaronPressman;language;4;18783;4;50;0.021;3.953;0.084
AaronPressman;rates;4;18783;4;50;0.021;2.319;0.049
AaronPressman;possibly;4;18783;4;50;0.021;3.37;0.072
AaronPressman;able;13;18783;12;50;0.069;2.168;0.15
AaronPressman;add;8;18783;8;50;0.043;3.124;0.133
AaronPressman;charges;10;18783;8;50;0.053;2.637;0.14
AaronPressman;software;33;18783;14;50;0.176;2.688;0.472
AaronPressman;written;4;18783;4;50;0.021;3.713;0.079
AaronPressman;posted;4;18783;4;50;0.021;2.7;0.058
AaronPressman;eventually;5;18783;5;50;0.027;3.313;0.088
AaronPressman;plans;10;18783;8;50;0.053;1.478;0.079
AaronPressman;involving;4;18783;3;50;0.021;3.576;0.076
AaronPressman;kinds;7;18783;5;50;0.037;4.991;0.186
AaronPressman;paper;8;18783;6;50;0.043;3.65;0.155
AaronPressman;delivered;4;18783;4;50;0.021;3.665;0.078
AaronPressman;day;6;18783;5;50;0.032;1.719;0.055
AaronPressman;moves;5;18783;5;50;0.027;3.199;0.085
AaronPressman;change;11;18783;8;50;0.059;2.175;0.127
AaronPressman;address;17;18783;9;50;0.091;3.634;0.329
AaronPressman;critics;3;18783;2;50;0.016;3.817;0.061
AaronPressman;better;6;18783;6;50;0.032;1.845;0.059
AaronPressman;private;22;18783;16;50;0.117;2.551;0.299
AaronPressman;sector;19;18783;16;50;0.101;1.871;0.189
AaronPressman;arguments;6;18783;5;50;0.032;4.528;0.145
AaronPressman;spread;4;18783;4;50;0.021;3.697;0.079
AaronPressman;war;6;18783;6;50;0.032;2.467;0.079
AaronPressman;efforts;8;18783;8;50;0.043;3.053;0.13
AaronPressman;create;7;18783;7;50;0.037;2.671;0.1
AaronPressman;today;3;18783;2;50;0.016;2.582;0.041
AaronPressman;earlier;13;18783;12;50;0.069;1.449;0.1
AaronPressman;public;20;18783;18;50;0.106;1.986;0.212
AaronPressman;school;5;18783;3;50;0.027;4.086;0.109
AaronPressman;research;3;18783;3;50;0.016;2.311;0.037
AaronPressman;study;18;18783;6;50;0.096;3.455;0.331
AaronPressman;seven;5;18783;5;50;0.027;2.319;0.062
AaronPressman;dramatically;6;18783;6;50;0.032;3.953;0.126
AaronPressman;executive;12;18783;11;50;0.064;1.287;0.082
AaronPressman;council;8;18783;7;50;0.043;2.988;0.127
AaronPressman;great;3;18783;3;50;0.016;2.7;0.043
AaronPressman;city;5;18783;4;50;0.027;2.426;0.065
AaronPressman;schools;5;18783;5;50;0.027;4.689;0.125
AaronPressman;association;35;18783;24;50;0.186;2.847;0.531
AaronPressman;large;5;18783;5;50;0.027;2.022;0.054
AaronPressman;sponsored;3;18783;3;50;0.016;4.328;0.069
AaronPressman;influential;4;18783;4;50;0.021;4.04;0.086
AaronPressman;organisation;10;18783;8;50;0.053;3.142;0.167
AaronPressman;backed;5;18783;5;50;0.027;3.358;0.089
AaronPressman;away;5;18783;5;50;0.027;2.62;0.07
AaronPressman;proposal;31;18783;13;50;0.165;2.988;0.493
AaronPressman;number;28;18783;19;50;0.149;1.818;0.271
AaronPressman;addresses;20;18783;6;50;0.106;5.339;0.569
AaronPressman;global;18;18783;13;50;0.096;2.39;0.229
AaronPressman;network;22;18783;11;50;0.117;2.295;0.269
AaronPressman;society;19;18783;5;50;0.101;3.747;0.379
AaronPressman;helps;5;18783;4;50;0.027;4.605;0.123
AaronPressman;develop;4;18783;4;50;0.021;2.847;0.061
AaronPressman;coordinate;3;18783;3;50;0.016;6.032;0.096
AaronPressman;standards;13;18783;8;50;0.069;3.27;0.226
AaronPressman;week;16;18783;13;50;0.085;1.245;0.106
AaronPressman;moving;3;18783;3;50;0.016;2.941;0.047
AaronPressman;ahead;9;18783;6;50;0.048;1.998;0.096
AaronPressman;form;5;18783;4;50;0.027;2.834;0.075
AaronPressman;member;13;18783;7;50;0.069;2.671;0.185
AaronPressman;committee;44;18783;16;50;0.234;2.665;0.624
AaronPressman;issue;26;18783;17;50;0.138;1.913;0.265
AaronPressman;unveiled;4;18783;4;50;0.021;3.17;0.068
AaronPressman;august;8;18783;5;50;0.043;2.352;0.1
AaronPressman;attempt;9;18783;9;50;0.048;3.405;0.163
AaronPressman;quell;5;18783;5;50;0.027;5.426;0.144
AaronPressman;growing;17;18783;14;50;0.091;2.059;0.186
AaronPressman;disputes;14;18783;7;50;0.075;3.747;0.279
AaronPressman;desirable;5;18783;5;50;0.027;5.627;0.15
AaronPressman;names;29;18783;7;50;0.154;3.534;0.546
AaronPressman;consensus;7;18783;5;50;0.037;3.507;0.131
AaronPressman;don;6;18783;6;50;0.032;1.833;0.059
AaronPressman;heath;13;18783;5;50;0.069;5.878;0.407
AaronPressman;questions;3;18783;3;50;0.016;3.576;0.057
AaronPressman;raised;7;18783;7;50;0.037;2.682;0.1
AaronPressman;technical;4;18783;4;50;0.021;3.381;0.072
AaronPressman;issues;23;18783;16;50;0.122;2.154;0.264
AaronPressman;trademarks;3;18783;2;50;0.016;7.131;0.114
AaronPressman;intellectual;10;18783;8;50;0.053;4.78;0.254
AaronPressman;property;10;18783;8;50;0.053;3.088;0.164
AaronPressman;try;5;18783;5;50;0.027;3.037;0.081
AaronPressman;good;5;18783;4;50;0.027;1.586;0.042
AaronPressman;section;14;18783;7;50;0.075;4.358;0.325
AaronPressman;discuss;4;18783;4;50;0.021;3.393;0.072
AaronPressman;ought;3;18783;3;50;0.016;5.259;0.084
AaronPressman;work;8;18783;7;50;0.043;1.911;0.081
AaronPressman;year;46;18783;29;50;0.245;0.326;0.08
AaronPressman;months;10;18783;9;50;0.053;1.33;0.071
AaronPressman;decide;4;18783;3;50;0.021;3.37;0.072
AaronPressman;forward;4;18783;4;50;0.021;2.813;0.06
AaronPressman;expansion;3;18783;3;50;0.016;2.847;0.045
AaronPressman;outcome;3;18783;3;50;0.016;3.892;0.062
AaronPressman;facts;4;18783;4;50;0.021;4.991;0.106
AaronPressman;life;3;18783;2;50;0.016;2.467;0.039
AaronPressman;want;7;18783;7;50;0.037;1.983;0.074
AaronPressman;increasing;3;18783;3;50;0.016;2.781;0.044
AaronPressman;companies;96;18783;33;50;0.511;1.098;0.561
AaronPressman;market;37;18783;21;50;0.197;0.662;0.13
AaronPressman;products;48;18783;20;50;0.256;1.774;0.453
AaronPressman;viacom;4;18783;4;50;0.021;6.032;0.128
AaronPressman;mtv;8;18783;4;50;0.043;5.878;0.25
AaronPressman;music;4;18783;4;50;0.021;4.39;0.093
AaronPressman;channel;4;18783;4;50;0.021;3.48;0.074
AaronPressman;fought;4;18783;4;50;0.021;4.423;0.094
AaronPressman;employees;4;18783;4;50;0.021;2.949;0.063
AaronPressman;registered;4;18783;4;50;0.021;4.213;0.09
AaronPressman;com;12;18783;5;50;0.064;4.733;0.302
AaronPressman;regaining;4;18783;4;50;0.021;5.426;0.116
AaronPressman;control;5;18783;5;50;0.027;2.299;0.061
AaronPressman;court;67;18783;17;50;0.357;2.395;0.854
AaronPressman;settlement;4;18783;4;50;0.021;3.619;0.077
AaronPressman;end;13;18783;13;50;0.069;1.191;0.082
AaronPressman;designations;5;18783;4;50;0.027;6.438;0.171
AaronPressman;known;6;18783;6;50;0.032;2.283;0.073
AaronPressman;level;25;18783;16;50;0.133;1.966;0.262
AaronPressman;domains;15;18783;5;50;0.08;6.215;0.496
AaronPressman;including;11;18783;11;50;0.059;1.527;0.089
AaronPressman;gov;9;18783;9;50;0.048;5.185;0.248
AaronPressman;government;53;18783;27;50;0.282;1.165;0.329
AaronPressman;edu;5;18783;5;50;0.027;6.215;0.165
AaronPressman;assigned;4;18783;4;50;0.021;5.878;0.125
AaronPressman;numbers;15;18783;9;50;0.08;2.964;0.237
AaronPressman;authority;22;18783;15;50;0.117;3.605;0.422
AaronPressman;oversee;3;18783;3;50;0.016;4.934;0.079
AaronPressman;creation;3;18783;3;50;0.016;4.086;0.065
AaronPressman;squeeze;3;18783;3;50;0.016;4.646;0.074
AaronPressman;especially;3;18783;3;50;0.016;2.615;0.042
AaronPressman;category;4;18783;4;50;0.021;4.04;0.086
AaronPressman;charter;5;18783;3;50;0.027;4.934;0.131
AaronPressman;central;5;18783;4;50;0.027;2.319;0.062
AaronPressman;board;15;18783;10;50;0.08;2.233;0.178
AaronPressman;voted;7;18783;7;50;0.037;4.16;0.155
AaronPressman;june;5;18783;5;50;0.027;1.83;0.049
AaronPressman;accept;3;18783;3;50;0.016;3.713;0.059
AaronPressman;preliminary;4;18783;4;50;0.021;4.063;0.087
AaronPressman;version;4;18783;4;50;0.021;3.455;0.074
AaronPressman;aspects;5;18783;4;50;0.027;4.828;0.129
AaronPressman;controversy;3;18783;3;50;0.016;4.298;0.069
AaronPressman;decided;11;18783;11;50;0.059;2.911;0.171
AaronPressman;needed;5;18783;5;50;0.027;2.43;0.065
AaronPressman;meet;8;18783;6;50;0.043;2.421;0.103
AaronPressman;telephone;19;18783;13;50;0.101;2.065;0.209
AaronPressman;open;5;18783;5;50;0.027;2.01;0.054
AaronPressman;california;4;18783;4;50;0.021;3.442;0.073
AaronPressman;include;11;18783;10;50;0.059;2.352;0.138
AaronPressman;members;35;18783;16;50;0.186;2.331;0.434
AaronPressman;appointed;3;18783;3;50;0.016;3.713;0.059
AaronPressman;international;22;18783;10;50;0.117;1.341;0.157
AaronPressman;union;29;18783;8;50;0.154;2.496;0.385
AaronPressman;trademark;10;18783;5;50;0.053;6.032;0.321
AaronPressman;debate;7;18783;6;50;0.037;3.507;0.131
AaronPressman;various;5;18783;5;50;0.027;3.576;0.095
AaronPressman;statement;3;18783;3;50;0.016;1.823;0.029
AaronPressman;best;4;18783;4;50;0.021;2.386;0.051
AaronPressman;continued;5;18783;5;50;0.027;2.453;0.065
AaronPressman;leading;8;18783;8;50;0.043;2.218;0.094
AaronPressman;recommendations;6;18783;6;50;0.032;4.605;0.147
AaronPressman;white;7;18783;6;50;0.037;3.974;0.148
AaronPressman;chair;6;18783;5;50;0.032;5.627;0.18
AaronPressman;interview;6;18783;6;50;0.032;1.753;0.056
AaronPressman;company;29;18783;14;50;0.154;0.655;0.101
AaronPressman;book;3;18783;2;50;0.016;3.854;0.062
AaronPressman;laws;35;18783;18;50;0.186;3.062;0.571
AaronPressman;transaction;3;18783;2;50;0.016;3.281;0.052
AaronPressman;sales;12;18783;8;50;0.064;1.555;0.099
AaronPressman;continue;9;18783;9;50;0.048;1.84;0.088
AaronPressman;grow;4;18783;4;50;0.021;2.834;0.06
AaronPressman;regulations;8;18783;7;50;0.043;3.747;0.16
AaronPressman;taxation;7;18783;6;50;0.037;5.116;0.191
AaronPressman;commercial;16;18783;11;50;0.085;2.491;0.212
AaronPressman;built;5;18783;5;50;0.027;2.904;0.077
AaronPressman;certain;7;18783;6;50;0.037;2.926;0.109
AaronPressman;actions;5;18783;5;50;0.027;3.605;0.096
AaronPressman;legal;9;18783;9;50;0.048;2.604;0.125
AaronPressman;states;19;18783;14;50;0.101;1.557;0.157
AaronPressman;tax;15;18783;3;50;0.08;2.168;0.173
AaronPressman;transactions;9;18783;5;50;0.048;3.854;0.185
AaronPressman;borders;3;18783;1;50;0.016;4.78;0.076
AaronPressman;hope;5;18783;4;50;0.027;2.919;0.078
AaronPressman;collect;3;18783;2;50;0.016;4.934;0.079
AaronPressman;taxes;6;18783;4;50;0.032;3.781;0.121
AaronPressman;merchants;3;18783;2;50;0.016;5.185;0.083
AaronPressman;apply;5;18783;5;50;0.027;4.213;0.112
AaronPressman;potential;8;18783;8;50;0.043;2.117;0.09
AaronPressman;argue;4;18783;3;50;0.021;3.995;0.085
AaronPressman;step;8;18783;8;50;0.043;2.567;0.109
AaronPressman;clear;3;18783;3;50;0.016;2.352;0.038
AaronPressman;policies;9;18783;6;50;0.048;3.324;0.159
AaronPressman;policy;52;18783;20;50;0.277;2.449;0.678
AaronPressman;lot;6;18783;6;50;0.032;2.165;0.069
AaronPressman;priority;3;18783;3;50;0.016;3.764;0.06
AaronPressman;protecting;7;18783;7;50;0.037;4.828;0.18
AaronPressman;regulation;27;18783;13;50;0.144;3.799;0.546
AaronPressman;privacy;14;18783;9;50;0.075;4.733;0.353
AaronPressman;areas;7;18783;7;50;0.037;2.491;0.093
AaronPressman;attorney;7;18783;7;50;0.037;3.781;0.141
AaronPressman;existing;16;18783;16;50;0.085;2.453;0.209
AaronPressman;protect;14;18783;13;50;0.075;3.974;0.296
AaronPressman;data;19;18783;13;50;0.101;2.556;0.259
AaronPressman;real;11;18783;6;50;0.059;2.43;0.142
AaronPressman;favour;9;18783;7;50;0.048;3.665;0.176
AaronPressman;reform;21;18783;11;50;0.112;3.335;0.373
AaronPressman;word;5;18783;4;50;0.027;3.681;0.098
AaronPressman;personal;4;18783;3;50;0.021;2.582;0.055
AaronPressman;social;6;18783;2;50;0.032;3.161;0.101
AaronPressman;product;6;18783;5;50;0.032;2.303;0.074
AaronPressman;longer;3;18783;3;50;0.016;2.897;0.046
AaronPressman;provided;3;18783;3;50;0.016;3.52;0.056
AaronPressman;contained;5;18783;4;50;0.027;4.646;0.124
AaronPressman;thousands;3;18783;3;50;0.016;3.442;0.055
AaronPressman;asked;7;18783;6;50;0.037;2.071;0.077
AaronPressman;congress;76;18783;21;50;0.405;3.239;1.311
AaronPressman;amend;4;18783;4;50;0.021;5.259;0.112
AaronPressman;fair;3;18783;3;50;0.016;3.393;0.054
AaronPressman;credit;66;18783;12;50;0.351;2.807;0.986
AaronPressman;act;32;18783;16;50;0.17;3.053;0.52
AaronPressman;governing;11;18783;8;50;0.059;4.16;0.244
AaronPressman;financial;60;18783;13;50;0.319;1.386;0.443
AaronPressman;held;4;18783;4;50;0.021;2.031;0.043
AaronPressman;suggested;4;18783;3;50;0.021;3.18;0.068
AaronPressman;cover;5;18783;5;50;0.027;3.313;0.088
AaronPressman;cases;5;18783;3;50;0.027;3.347;0.089
AaronPressman;treasury;26;18783;11;50;0.138;4.16;0.576
AaronPressman;department;28;18783;17;50;0.149;2.556;0.381
AaronPressman;banking;46;18783;12;50;0.245;2.567;0.629
AaronPressman;groups;15;18783;10;50;0.08;2.472;0.197
AaronPressman;conclusions;4;18783;4;50;0.021;4.88;0.104
AaronPressman;officials;19;18783;12;50;0.101;1.592;0.161
AaronPressman;regulators;14;18783;8;50;0.075;3.088;0.23
AaronPressman;banks;115;18783;19;50;0.612;2.279;1.395
AaronPressman;rules;43;18783;14;50;0.229;2.665;0.61
AaronPressman;reserve;15;18783;10;50;0.08;3.873;0.309
AaronPressman;little;9;18783;9;50;0.048;1.995;0.096
AaronPressman;commodity;20;18783;5;50;0.106;4.328;0.461
AaronPressman;futures;21;18783;5;50;0.112;3.817;0.427
AaronPressman;securities;47;18783;13;50;0.25;2.004;0.501
AaronPressman;exchange;27;18783;6;50;0.144;1.758;0.253
AaronPressman;collecting;4;18783;3;50;0.021;5.185;0.11
AaronPressman;need;9;18783;8;50;0.048;2.049;0.098
AaronPressman;john;12;18783;12;50;0.064;2.233;0.143
AaronPressman;special;3;18783;3;50;0.016;2.637;0.042
AaronPressman;counsel;13;18783;10;50;0.069;4.457;0.308
AaronPressman;different;12;18783;9;50;0.064;2.807;0.179
AaronPressman;markets;10;18783;7;50;0.053;1.563;0.083
AaronPressman;supreme;23;18783;8;50;0.122;4.457;0.546
AaronPressman;case;28;18783;9;50;0.149;2.43;0.362
AaronPressman;argued;14;18783;8;50;0.075;3.932;0.293
AaronPressman;legislative;5;18783;4;50;0.027;3.892;0.104
AaronPressman;solution;4;18783;4;50;0.021;4.063;0.087
AaronPressman;amendment;20;18783;5;50;0.106;5.521;0.588
AaronPressman;primary;4;18783;3;50;0.021;3.953;0.084
AaronPressman;contracts;5;18783;2;50;0.027;3.053;0.081
AaronPressman;exchanges;5;18783;2;50;0.027;3.799;0.101
AaronPressman;say;6;18783;5;50;0.032;1.446;0.046
AaronPressman;broad;4;18783;3;50;0.021;3.576;0.076
AaronPressman;reading;4;18783;2;50;0.021;5.116;0.109
AaronPressman;narrow;3;18783;2;50;0.016;4.241;0.068
AaronPressman;force;9;18783;8;50;0.048;2.706;0.13
AaronPressman;united;10;18783;10;50;0.053;1.482;0.079
AaronPressman;congressional;8;18783;8;50;0.043;4.528;0.193
AaronPressman;action;10;18783;6;50;0.053;2.62;0.139
AaronPressman;expected;17;18783;15;50;0.091;0.868;0.079
AaronPressman;significant;6;18783;4;50;0.032;2.39;0.076
AaronPressman;legislation;24;18783;16;50;0.128;3.713;0.474
AaronPressman;general;12;18783;10;50;0.064;1.737;0.111
AaronPressman;created;4;18783;4;50;0.021;3.062;0.065
AaronPressman;big;6;18783;5;50;0.032;1.574;0.05
AaronPressman;foreign;36;18783;9;50;0.192;1.693;0.324
AaronPressman;currency;31;18783;12;50;0.165;2.926;0.483
AaronPressman;similiar;16;18783;13;50;0.085;5.259;0.448
AaronPressman;items;3;18783;2;50;0.016;3.634;0.058
AaronPressman;firms;36;18783;20;50;0.192;2.13;0.408
AaronPressman;agreed;5;18783;4;50;0.027;1.978;0.053
AaronPressman;says;4;18783;4;50;0.021;2.526;0.054
AaronPressman;options;10;18783;4;50;0.053;3.229;0.172
AaronPressman;exempt;5;18783;3;50;0.027;5.745;0.153
AaronPressman;unless;5;18783;5;50;0.027;3.405;0.091
AaronPressman;future;3;18783;3;50;0.016;1.659;0.026
AaronPressman;conducted;3;18783;3;50;0.016;4.328;0.069
AaronPressman;currencies;6;18783;2;50;0.032;5.259;0.168
AaronPressman;cftc;30;18783;4;50;0.16;6.438;1.028
AaronPressman;began;3;18783;3;50;0.016;2.551;0.041
AaronPressman;problem;9;18783;7;50;0.048;2.386;0.114
AaronPressman;bucket;3;18783;2;50;0.016;6.215;0.099
AaronPressman;shops;4;18783;2;50;0.021;4.991;0.106
AaronPressman;forex;3;18783;1;50;0.016;6.032;0.096
AaronPressman;lawyers;6;18783;3;50;0.032;3.547;0.113
AaronPressman;investment;6;18783;5;50;0.032;1.688;0.054
AaronPressman;considered;7;18783;7;50;0.037;2.988;0.111
AaronPressman;courts;10;18783;8;50;0.053;3.854;0.205
AaronPressman;took;5;18783;5;50;0.027;2.299;0.061
AaronPressman;conflicting;6;18783;6;50;0.032;5.185;0.166
AaronPressman;exempted;3;18783;2;50;0.016;6.215;0.099
AaronPressman;derivatives;11;18783;4;50;0.059;4.646;0.272
AaronPressman;likely;17;18783;10;50;0.091;1.613;0.146
AaronPressman;resolve;5;18783;3;50;0.027;3.912;0.104
AaronPressman;william;10;18783;9;50;0.053;3.619;0.193
AaronPressman;dunn;17;18783;3;50;0.091;5.426;0.491
AaronPressman;november;3;18783;3;50;0.016;2.161;0.035
AaronPressman;told;10;18783;8;50;0.053;0.924;0.049
AaronPressman;soon;5;18783;5;50;0.027;2.458;0.065
AaronPressman;asking;4;18783;4;50;0.021;4.298;0.092
AaronPressman;decision;19;18783;11;50;0.101;2.046;0.207
AaronPressman;wanted;4;18783;4;50;0.021;2.736;0.058
AaronPressman;jurisdiction;5;18783;4;50;0.027;5.259;0.14
AaronPressman;billion;14;18783;9;50;0.075;0.842;0.063
AaronPressman;chicago;4;18783;3;50;0.021;2.834;0.06
AaronPressman;ruling;11;18783;6;50;0.059;3.209;0.188
AaronPressman;independent;4;18783;4;50;0.021;2.626;0.056
AaronPressman;warned;13;18783;9;50;0.069;2.665;0.184
AaronPressman;exemption;3;18783;2;50;0.016;6.438;0.103
AaronPressman;havoc;4;18783;4;50;0.021;5.259;0.112
AaronPressman;allowing;17;18783;12;50;0.091;3.133;0.284
AaronPressman;idea;3;18783;3;50;0.016;3.576;0.057
AaronPressman;subject;4;18783;4;50;0.021;3.358;0.072
AaronPressman;pretty;4;18783;4;50;0.021;3.02;0.064
AaronPressman;immediately;5;18783;5;50;0.027;3.161;0.084
